index,artist,country,genre,gender,group_size,debut_album_year,track_name,uri,image_uri,song_uri,song_image_uri,embedded_track
1206,Inna,ro,Pop,f,1,2008,Enjoy the Moment,spotify:artist:6XYisn5yO5Xv92OuZd5FtZ,https://i.scdn.co/image/ab6761610000e5eb0ef0061eeb06099260f38202,https://p.scdn.co/mp3-preview/fdfddd37e60a85de21ddbbb82886f024abe43d18?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273a5c1748e8b7ea7f1a5188d99,https://open.spotify.com/embed/track/5p2lJHgMFvAwXLMW07dFZ0
1207,Frédéric Chopin,pl,Classical,m,1,1825,"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",spotify:artist:7y97mc3bZRFXzT2szRM4L4,https://i.scdn.co/image/ab6761610000e5ebe55372097569b7b56b439365,https://p.scdn.co/mp3-preview/2d89448fdb6a579ba6b84b129b3508dc5527382e?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b27355c82855070525581e2c6fee,https://open.spotify.com/embed/track/1VNvsvEsUpuUCbHpVop1vo
1208,Martin Jensen,dk,Electronic,m,1,2015,Solo Dance,spotify:artist:4ehtJnVumNf6xzSCDk8aLB,https://i.scdn.co/image/ab6761610000e5ebda1144fb20f96075198f3295,https://p.scdn.co/mp3-preview/0e6b474e8b3734b226823a5ef9d90406463aa6a6?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2736b5f7f452f8443896ab8347c,https://open.spotify.com/embed/track/3R6dPfF2yBO8mHySW1XDAa
1209,Hippie Sabotage,us,Hip Hop,m,2,2014,Devil Eyes,spotify:artist:4dM6NDYSfLcspt8GLoT5aE,https://i.scdn.co/image/ab6761610000e5eb5cc73bce8ae9e21bb1423b23,https://p.scdn.co/mp3-preview/bae798888882991d82670cd8a51768076c5374b0?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273ecdad1ee6d530eb965d7c51e,https://open.spotify.com/embed/track/1a3bby8QWg5R2MQMPejXRJ
1210,The Wanted,gb,Pop,m,4,2010,Glad You Came,spotify:artist:2NhdGz9EDv2FeUw6udu2g1,https://i.scdn.co/image/ab6761610000e5ebd34d138ebcda9fca6716e70c,https://p.scdn.co/mp3-preview/dae97e3b19c3d113e056f29a1831aa7fc57181e5?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b27317a142a78128fb7c54ab9aa4,https://open.spotify.com/embed/track/5yDL13y5giogKs2fSNf7sj
1211,Powfu,ca,Hip Hop,m,1,2020,death bed (coffee for your head),spotify:artist:6bmlMHgSheBauioMgKv2tn,https://i.scdn.co/image/ab6761610000e5eb21d64070119e240c79d36ae8,https://p.scdn.co/mp3-preview/eb52a920dd6fafb07ae1f9e5e60f9279ee854b89?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273bf01fd0986a195d485922167,https://open.spotify.com/embed/track/7eJMfftS33KTjuF7lTsMCx
1212,Don Diablo,nl,Electronic,m,3,2016,Hot Air Balloon,spotify:artist:1l2ekx5skC4gJH8djERwh1,https://i.scdn.co/image/ab6761610000e5eb115e8953833485a0bbdca130,https://p.scdn.co/mp3-preview/f8132cac266201076696bd8078d407e7f7c296d8?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273484d2402e2d425ac2c87ec3c,https://open.spotify.com/embed/track/0JGBLgGEmy4OgMDjsyj7Gu
1213,Benny Benassi,it,Electronic,m,1,2003,Satisfaction,spotify:artist:4Ws2otunReOa6BbwxxpCt6,https://i.scdn.co/image/ab6761610000e5eb66b3b7a685d928ca372956ea,https://p.scdn.co/mp3-preview/2619c7b292c822f59cb5385be364b412bc70509d?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273df8f17faeadc768532a47d9f,https://open.spotify.com/embed/track/2z84RrgAVb46HkmvkBtGLg
1214,Ali Gatie,ca,Pop,m,1,2019,It's You,spotify:artist:4rTv3Ejc7hKMtmoBOK1B4T,https://i.scdn.co/image/ab6761610000e5eb528642fef307039a5358e3c0,https://p.scdn.co/mp3-preview/086a3e2cfd58b1eb70ce3731798ac73e832bda18?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b27350a744f0ef5c3e260d9de720,https://open.spotify.com/embed/track/5DqdesEfbRyOlSS3Tf6c29
1215,Nina Simone,us,Jazz,f,1,1959,Feeling Good,spotify:artist:7G1GBhoKtEPnP86X2PvEYO,https://i.scdn.co/image/ab6761610000e5eb136c51c848c26a6cce7f9e56,https://p.scdn.co/mp3-preview/fa972598d83d13713041851e5122833bc40f8835?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273425e9a15a4a1b9fe123a1aa7,https://open.spotify.com/embed/track/6Rqn2GFlmvmV4w9Ala0I1e
1216,Olly Murs,gb,Pop,m,1,2010,Troublemaker (feat. Flo Rida),spotify:artist:3whuHq0yGx60atvA2RCVRW,https://i.scdn.co/image/ab6761610000e5eb0f69adcd21b766fa18e3c3db,https://p.scdn.co/mp3-preview/8f78cfd9a12604b3009df138fb3ae298ef895491?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273b95f5f8768a25c70d72f91d0,https://open.spotify.com/embed/track/6s8nHXTJVqFjXE4yVZPDHR
1217,Travis Barker,us,Rock,m,1,2011,I Think I'm OKAY (with YUNGBLUD & Travis Barker),spotify:artist:4exLIFE8sISLr28sqG1qNX,https://i.scdn.co/image/ab6761610000e5eb217f81a86110ebc7c0e43fb3,https://p.scdn.co/mp3-preview/0b07e1eabec2672232de65e5146fba1a22d3152e?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273cfc4b1939aba562fc97159c5,https://open.spotify.com/embed/track/2gTdDMpNxIRFSiu7HutMCg
1218,Icona Pop,se,Pop,f,2,2013,I Love It (feat. Charli XCX),spotify:artist:1VBflYyxBhnDc9uVib98rw,https://i.scdn.co/image/ab6761610000e5eb243a07342d0b3dc13aefd3f5,https://p.scdn.co/mp3-preview/3c965c0ecc8ad90565b5fece8411afcb1c5e86b8?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2734e2e6035e60579c7bdc6fb33,https://open.spotify.com/embed/track/6HZ9VeI5IRFCNQLXhpF4bq
